27283483	no_omics_term	Preclinical efficacy of a gastro-sparing novel thiazolidin-4-one in alleviating secondary 
26864916	not_pain_phenotype	Progranulin suppresses titanium particle induced inflammatory osteolysis by targeting TNFα
22249337	no_omics_term	Effect of dipyrone and thalidomide alone and in combination on STZ-induced diabetic neurop
35328395	no_omics_term	A High Body Mass Index and the Vacuum Phenomenon Upregulate Pain-Related Molecules in Huma
24286006	not_pain_phenotype	Secondary amyloidosis in a patient carrying mutations in the familial Mediterranean fever 
36286687	no_omics_term	[Chondroitin sulfate in therapy osteoarthritis chronic pain patients according to actual c
35832286	no_omics_term	Elevated highly sensitive C-reactive protein in fibromyalgia associates with symptom sever
34514543	no_omics_term	The role of dorsal root ganglia alpha-7 nicotinic acetylcholine receptor in complete Freun
16787404	no_omics_term	The transcription factor DeltaFosB is recruited by inflammatory pain.
33408720	no_omics_term	Bidirectional Action of Cenicriviroc, a CCR2/CCR5 Antagonist, Results in Alleviation of Pa
34116186	no_omics_term	Ethnomedicinal uses, phytochemistry, pharmacological activities and toxicological profile 
20726890	no_omics_term	Plasticity of hyperpolarization-activated and cyclic nucleotid-gated cation channel subuni
31683631	no_omics_term	Electrical Stimulation of C6 Glia-Precursor Cells In Vitro Differentially Modulates Gene E
37291337	no_omics_term	Oxycodone withdrawal induces HDAC1/HDAC2-dependent transcriptional maladaptations in the r
20534789	no_omics_term	Antinociceptive effects of AS1892802, a novel Rho kinase inhibitor, in rat models of infla
29886243	no_omics_term	Ibudilast produces anti-allodynic effects at the persistent phase of peripheral or central
27599867	no_omics_term	Downregulation of miR-219 enhances brain-derived neurotrophic factor production in mouse d
24374082	no_omics_term	Temporal changes in MrgC expression after spinal nerve injury.
34281158	no_omics_term	Increased Expression of Thymic Stromal Lymphopoietin in Chronic Constriction Injury of Rat
35939988	not_pain_phenotype	Association of IRGM promoter region polymorphisms and haplotype with pulmonary tuberculosi
32125485	no_omics_term	Ketamine relieves depression-like behaviors induced by chronic postsurgical pain in rats t
22672183	no_omics_term	Spinal interleukin-10 therapy to treat peripheral neuropathic pain.
35846355	no_omics_term	Immuno-Modulatory Effects of Intervertebral Disc Cells.
25951228	no_omics_term	Effects of intermedin on dorsal root ganglia in the transmission of neuropathic pain in ch
40842082	no_omics_term	TREM2 and Pain Development: An Old Molecule, a New Target.
38530746	not_pain_phenotype	A Review on the Traditional Applications, Phytochemistry, and Pharmacology of the Genus Ph
38874721	no_omics_term	Enkephalin Rescues Temporomandibular Joint Pain-Related Behavior in Rats.
16061521	no_omics_term	P2X receptors: targets for novel analgesics?
23098566	no_omics_term	Aminopiperidine sulfonamide Cav2.2 channel inhibitors for the treatment of chronic pain.
40441191	not_pain_phenotype	Blood metabolomic and Crohn's disease: A Mendelian randomization study.
39975116	no_omics_term	
25636687	no_omics_term	Serum MicroRNA Signatures in Migraineurs During Attacks and in Pain-Free Periods.
28314819	no_omics_term	Depressive-Like Behaviors Are Regulated by NOX1/NADPH Oxidase by Redox Modification of NMD
24322332	no_omics_term	Intrathecal AAV serotype 9-mediated delivery of shRNA against TRPV1 attenuates thermal hyp
16524371	no_omics_term	Spatial and temporal relationship between monocyte chemoattractant protein-1 expression an
22296735	no_omics_term	Calcium/calmodulin dependent kinase II contributes to persistent central neuropathic pain 
32393298	no_omics_term	Anti-inflammatory protein TSG-6 secreted by bone marrow mesenchymal stem cells attenuates 
41605341	no_omics_term	Persistent neuropathic pain selectively impairs hedonic and motivational aspects of eating
36830710	not_pain_phenotype	Identification of Lipid Biomarkers for Chronic Joint Pain Associated with Different Joint 
25629055	no_omics_term	D-aspartate modulates nociceptive-specific neuron activity and pain threshold in inflammat
22353423	no_omics_term	NOV/CCN3 attenuates inflammatory pain through regulation of matrix metalloproteinases-2 an
34786952	no_omics_term	Modulation of signal transduction gene expression following pulsed radiofrequency in dorsa
30740043	not_pain_phenotype	Global Gene Knockout of 
28137966	no_omics_term	Loss of M1 Receptor Dependent Cholinergic Excitation Contributes to mPFC Deactivation in N
41793208	not_pain_phenotype	Genomic and proteomic insights into hidradenitis suppurativa.
34381521	no_omics_term	Application of Bioinformatics Methods to Identify Key Genes and Functions in Chronic Pelvi
29679493	no_omics_term	PPARs and pain.
19674505	no_omics_term	Differential expression of connexins in trigeminal ganglion neurons and satellite glial ce
24231349	no_omics_term	Balancing GRK2 and EPAC1 levels prevents and relieves chronic pain.
23685007	no_omics_term	Nerve injury-induced changes in Homer/glutamate receptor signaling contribute to the devel
37812355	no_omics_term	Evaluated periodontal tissues and oxidative stress in rats with neuropathic pain-like beha
31766461	no_omics_term	The Role of Maresins in Inflammatory Pain: Function of Macrophages in Wound Regeneration.
